codigo,	titulo,	organismo,	en_que_consiste,	requisitos,	como_se_hace_el_tramite	,quien_puede_o_debe_efectuarlo,	que_vigencia_tiene_el_documento	cuantas_veces_deberia_asistir_al_organismo,	tiempo_desde_la_solicitud_hasta_la_entrega,	donde_se_puede_realizar	cuando_es_necesario_realizar_el_tramite,	observaciones,	otros1,	otros2,	otros3
2396	Programa de ayudas técnicas para Personas con Discapacidad	Comisión Nacional Asesora para la Integración de las Personas con Discapacidad	Acceder al Programa de ayudas técnicas para Personas con Discapacidad pretende favorecer la accesibilidad a las diferentes ayudas técnicas específicas que requieren las personas con discapacidad, para llevar a cabo las actividades de la vida diaria, mejorar la autonomía personal y la calidad de vida. Se consideran ayudas técnicas a todos aquellos aparatos o equipos que son utilizados por personas con discapacidad, ya sea temporal o permanente, que les posibilite tener un mayor grado de independencia en las actividades de la vida diaria y les proporcione, en general, una mejor calidad de vida.	1.- Consultar los requisitos y la documentación necesaria para cada Programa.	1.- Presentar la solicitud en la Mesa de Entradas de la Unidad Ejecutora de Proyectos, la cual procederá a su registro y, cuando corresponda, a su caratulación, dando inicio formal al trámite. Puede consultar los Formularios necesarios para la transferencia de fondos. Una vez cumplimentada la solicitud, la Coordinación Técnica de la Unidad Ejecutora de Proyectos realizará un Informe Técnico, en base al cual el Coordinador General emitirá un dictamen sobre la procedencia de la aceptación o rechazo de la petición. En caso de ser aceptado, la Unidad Ejecutora de Proyectos elaborará el convenio a suscribir con el beneficiario.   Todo Proyecto de convenio o de resolución de otorgamiento de subsidio, deberá contar con dictamen jurídico de la Secretaría Legal y Técnica de la Presidencia de la Nación. 2.- Realizar la Rendición de Cuentas.     Nota: En todos los casos la solicitud deberá estar avalada por el área gubernamental local con competencia en materia de discapacidad, de la Provincia de origen del solicitante o del lugar donde se aplique el subsidio o del Gobierno de la Ciudad Autónoma de Buenos Aires, independientemente de la intervención que le competa a los distintos Ministerios del Gobierno Nacional.  	Podrán presentar solicitudes aquellas personas con discapacidad que no cuentan con cobertura social (a excepción de INCLUIR SALUD o PAMI por Pensiones No Contributivas).		Debería asistir DOS veces:1.- Presentar la documentación.2.- Suscribir el convenio.   Nota: Eventualmente podría ser citado para dar explicaciones o agregar documentación.  		Unidad Ejecutora de Proyectos, CONADIS sita en Av. Julio A. Roca 782, Piso 4, Ciudad Autónoma de Buenos Aires.	Los proyectos serán recibidos a partir del 1 de julio de 2013 y pueden ser enviados, según corresponda, por organismos de gobierno, organizaciones de la sociedad civil y personas físicas.				
2395	Programa de Fortalecimiento de Unidades Productivas Inclusivas	Comisión Nacional Asesora para la Integración de las Personas con Discapacidad	Acceder al Programa de Fortalecimiento de Unidades Productivas Inclusivas que promueve el apoyo económico a unidades productivas conformadas o que integren personas con discapacidad, buscando a través del mismo fortalecer estas unidades de negocios para mejorar su inclusión en el mercado comercial formal, permitiendo potenciar la integración, autonomía y equiparación de las oportunidades de las personas con discapacidad en el trabajo. Se entienden estas unidades productivas en el marco de la Economía Social, es decir, emprendimientos productivos sustentables que emplean a Personas con Discapacidad, permitiéndoles mejorar significativamente su calidad de vida, a partir de un trabajo digno y reconocido.	1.- Consultar los requisitos y la documentación necesaria para cada Programa.	1.- Presentar la solicitud en la Mesa de Entradas de la Unidad Ejecutora de Proyectos, la cual procederá a su registro y, cuando corresponda, a su caratulación, dando inicio formal al trámite. Puede consultar los Formularios necesarios para la transferencia de fondos. Una vez cumplimentada la solicitud, la Coordinación Técnica de la Unidad Ejecutora de Proyectos realizará un Informe Técnico, en base al cual el Coordinador General emitirá un dictamen sobre la procedencia de la aceptación o rechazo de la petición. En caso de ser aceptado, la Unidad Ejecutora de Proyectos elaborará el convenio a suscribir con el beneficiario.   Todo Proyecto de convenio o de resolución de otorgamiento de subsidio, deberá contar con dictamen jurídico de la Secretaría Legal y Técnica de la Presidencia de la Nación. 2.- Realizar la Rendición de Cuentas.     Nota: En todos los casos la solicitud deberá estar avalada por el área gubernamental local con competencia en materia de discapacidad, de la Provincia de origen del solicitante o del lugar donde se aplique el subsidio o del Gobierno de la Ciudad Autónoma de Buenos Aires, independientemente de la intervención que le competa a los distintos Ministerios del Gobierno Nacional.  	Podrán presentar proyectos para el presente programa, Organizaciones de la Sociedad Civil sin fines de lucro u Organismos Gubernamentales que puedan acreditar el desarrollo de actividades de tipo productivas que integren personas con discapacidad, que justifique el financiamiento solicitado y que puedan acreditar por lo menos seis meses de funcionamiento.		Debería asistir DOS veces:1.- Presentar la documentación.2.- Suscribir el convenio.   Nota: Eventualmente podría ser citado para dar explicaciones o agregar documentación.  		Unidad Ejecutora de Proyectos, CONADIS sita en Av. Julio A. Roca 782, Piso 4, Ciudad Autónoma de Buenos Aires.	Los proyectos serán recibidos a partir del 1 de julio de 2013 y pueden ser enviados, según corresponda, por organismos de gobierno, organizaciones de la sociedad civil y personas físicas.				
2394	Programa de espacios culturales inclusivos	Comisión Nacional Asesora para la Integración de las Personas con Discapacidad	Acceder al programa  de espacios culturales inclusivos que tiene por finalidad mejorar la accesibilidad de los espacios culturales, de manera de optimizar el uso de los mismos por parte de las personas con discapacidad. Incluye salas de espectáculos, cines, teatros y museos.Se propone el financiamiento de honorarios profesionales, materiales, equipamiento y mano de obra necesaria para hacer accesibles salas de espectáculos, cines, teatros y museos pertenecientes a organismos gubernamentales (municipios y comunas) u organizaciones de la sociedad civil sin fines de lucro (asociaciones civiles o fundaciones).	1.- Consultar los requisitos y la documentación necesaria para cada Programa.	1.- Presentar la solicitud en la Mesa de Entradas de la Unidad Ejecutora de Proyectos, la cual procederá a su registro y, cuando corresponda, a su caratulación, dando inicio formal al trámite. Puede consultar los Formularios necesarios para la transferencia de fondos. Una vez cumplimentada la solicitud, la Coordinación Técnica de la Unidad Ejecutora de Proyectos realizará un Informe Técnico, en base al cual el Coordinador General emitirá un dictamen sobre la procedencia de la aceptación o rechazo de la petición. En caso de ser aceptado, la Unidad Ejecutora de Proyectos elaborará el convenio a suscribir con el beneficiario.   Todo Proyecto de convenio o de resolución de otorgamiento de subsidio, deberá contar con dictamen jurídico de la Secretaría Legal y Técnica de la Presidencia de la Nación. 2.- Realizar la Rendición de Cuentas.     Nota: En todos los casos la solicitud deberá estar avalada por el área gubernamental local con competencia en materia de discapacidad, de la Provincia de origen del solicitante o del lugar donde se aplique el subsidio o del Gobierno de la Ciudad Autónoma de Buenos Aires, independientemente de la intervención que le competa a los distintos Ministerios del Gobierno Nacional.  	Organismos gubernamentales y  organizaciones de la sociedad civil sin fines de lucro propietarias del edificio donde se realizarán las mejoras.		Debería asistir DOS veces:1.- Presentar la documentación.2.- Suscribir el convenio.   Nota: Eventualmente podría ser citado para dar explicaciones o agregar documentación.  		Unidad Ejecutora de Proyectos, CONADIS sita en Av. Julio A. Roca 782, Piso 4, Ciudad Autónoma de Buenos Aires.	Los proyectos serán recibidos a partir del 1 de julio de 2013 y pueden ser enviados, según corresponda, por organismos de gobierno, organizaciones de la sociedad civil y personas físicas.				
2393	Programa de Inclusión Deportiva	Comisión Nacional Asesora para la Integración de las Personas con Discapacidad	Acceder al  Programa de Inclusión Deportiva que tiene dos componentes, el primero de ellos,está destinado a financiar equipamiento para la práctica deportiva de las personas con discapacidad, y el segundo, adecuaciones edilicias básicas para hacer accesible las instalaciones donde se desarrollan las actividades. Solo aquellas instituciones PROPIETARIAS del edificio en el que funcionan, podrán realizar la solicitud en ambos componentes.Este programa se propone dar respuestas concretas a algunas necesidades de organizaciones deportivas que implementen o deseen implementar programas y/o actividades deportivas, brindándoles la posibilidad de acceder a elementos indispensables para esta práctica, como así también adaptar las instalaciones donde se lleven a cabo las mismas.	1.- Consultar los requisitos y la documentación necesaria para cada Programa.	1.- Presentar la solicitud en la Mesa de Entradas de la Unidad Ejecutora de Proyectos, la cual procederá a su registro y, cuando corresponda, a su caratulación, dando inicio formal al trámite. Puede consultar los Formularios necesarios para la transferencia de fondos. Una vez cumplimentada la solicitud, la Coordinación Técnica de la Unidad Ejecutora de Proyectos realizará un Informe Técnico, en base al cual el Coordinador General emitirá un dictamen sobre la procedencia de la aceptación o rechazo de la petición. En caso de ser aceptado, la Unidad Ejecutora de Proyectos elaborará el convenio a suscribir con el beneficiario. Todo Proyecto de convenio o de resolución de otorgamiento de subsidio, deberá contar con dictamen jurídico de la Secretaría Legal y Técnica de la Presidencia de la Nación. 2.- Realizar la Rendición de Cuentas.     Nota: En todos los casos la solicitud deberá estar avalada por el área gubernamental local con competencia en materia de discapacidad, de la Provincia de origen del solicitante o del lugar donde se aplique el subsidio o del Gobierno de la Ciudad Autónoma de Buenos Aires, independientemente de la intervención que le competa a los distintos Ministerios del Gobierno Nacional.  	Podrán presentar proyectos los organismos gubernamentales (Secretarias de deportes Provinciales o municipales) y Organizaciones no gubernamentales, que vengan desarrollando actividades con personas con discapacidad vinculadas al deporte y que ya cuenten con el recurso humano para tal fin.		Debería asistir DOS veces:1.- Presentar la documentación.2.- Suscribir el convenio.   Nota: Eventualmente podría ser citado para dar explicaciones o agregar documentación.  		Unidad Ejecutora de Proyectos, CONADIS sita en Av. Julio A. Roca 782, Piso 4, Ciudad Autónoma de Buenos Aires.	Los proyectos serán recibidos a partir del 1 de julio de 2013 y pueden ser enviados, según corresponda, por organismos de gobierno, organizaciones de la sociedad civil y personas físicas.				
2392	Programa de equipamiento y Accesibilidad para bibliotecas	Comisión Nacional Asesora para la Integración de las Personas con Discapacidad	Acceder al Programa de equipamiento y Accesibilidad para bibliotecas que tiene dos componentes, el primero de ellos,(Componente 1) está destinado a equipar las Bibliotecas y el segundo (componente 2) a efectuar adecuaciones edilicias básicas para hacer accesible el edificio. Solo aquellas bibliotecas PROPIETARIAS del edificio en el que funcionan, podrán realizar la solicitud en ambos componentes.	1.- Consultar los requisitos y la documentación necesaria para cada Programa.	1.- Presentar la solicitud en la Mesa de Entradas de la Unidad Ejecutora de Proyectos, la cual procederá a su registro y, cuando corresponda, a su caratulación, dando inicio formal al trámite. Puede consultar los Formularios necesarios para la transferencia de fondos. Una vez cumplimentada la solicitud, la Coordinación Técnica de la Unidad Ejecutora de Proyectos realizará un Informe Técnico, en base al cual el Coordinador General emitirá un dictamen sobre la procedencia de la aceptación o rechazo de la petición. En caso de ser aceptado, la Unidad Ejecutora de Proyectos elaborará el convenio a suscribir con el beneficiario. Todo Proyecto de convenio o de resolución de otorgamiento de subsidio, deberá contar con dictamen jurídico de la Secretaría Legal y Técnica de la Presidencia de la Nación. 2.- Realizar la Rendición de Cuentas.     Nota: En todos los casos la solicitud deberá estar avalada por el área gubernamental local con competencia en materia de discapacidad, de la Provincia de origen del solicitante o del lugar donde se aplique el subsidio o del Gobierno de la Ciudad Autónoma de Buenos Aires, independientemente de la intervención que le competa a los distintos Ministerios del Gobierno Nacional.  	Componente 1: Podrán presentar proyectos los organismos gubernamentales (Ministerios, Municipalidades/ Comunas) , las Organizaciones de la Sociedad Civil sin fines de lucro (Asociaciones Civiles, Fundaciones, que se encuentren jurídicamente constituidas) y Bibliotecas Universitarias Publicas a través de la asociación cooperadora /fundación. Componente 2: Aquellas entidades solicitantes que sean propietarias del edificio en el que funcionan, adicionalmente, podrán solicitar una adecuación básica para hacer accesible el inmueble, solo y exclusivamente en la planta baja.		Debería asistir dos veces:1.- Presentar la documentación.2.- Suscribir el convenio.   Nota: Eventualmente podría ser citado para dar explicaciones o agregar documentación.  		Unidad Ejecutora de Proyectos, CONADIS sita en Av. Julio A. Roca 782, Piso 4, Ciudad Autónoma de Buenos Aires.	Los proyectos serán recibidos a partir del 1 de julio de 2013 y pueden ser enviados, según corresponda, por organismos de gobierno, organizaciones de la sociedad civil y personas físicas.				
2391	Programa de Banco de máquinas Braille	Comisión Nacional Asesora para la Integración de las Personas con Discapacidad	Accede al Programa de Banco de máquinas Braille que propone el financiamiento para la adquisición de un tope de 10 máquinas Braille, para ser entregadas en calidad de comodato a la matrícula escolar con discapacidad visual y que necesiten contar provisoriamente con dicho equipamiento para optimizar la adquisición de la lectoescritura en sistema Braille.El propósito es facilitar el equipamiento, hasta que mediante la obra social (según Ley 24.9019) o programa de asistencia, pueda proveerle del mismo y no detener el proceso de aprendizaje de los niños/as, en razón de la ausencia de la máquina.	1.- Consultar los requisitos y la documentación necesaria para cada Programa.	1.- Presentar la solicitud en la Mesa de Entradas de la Unidad Ejecutora de Proyectos, la cual procederá a su registro y, cuando corresponda, a su caratulación, dando inicio formal al trámite. Puede consultar los Formularios necesarios para la transferencia de fondos. Una vez cumplimentada la solicitud, la Coordinación Técnica de la Unidad Ejecutora de Proyectos realizará un Informe Técnico, en base al cual el Coordinador General emitirá un dictamen sobre la procedencia de la aceptación o rechazo de la petición. En caso de ser aceptado, la Unidad Ejecutora de Proyectos elaborará el convenio a suscribir con el beneficiario.   Todo Proyecto de convenio o de resolución de otorgamiento de subsidio, deberá contar con dictamen jurídico de la Secretaría Legal y Técnica de la Presidencia de la Nación. 2.- Realizar la Rendición de Cuentas.     Nota: En todos los casos la solicitud deberá estar avalada por el área gubernamental local con competencia en materia de discapacidad, de la Provincia de origen del solicitante o del lugar donde se aplique el subsidio o del Gobierno de la Ciudad Autónoma de Buenos Aires, independientemente de la intervención que le competa a los distintos Ministerios del Gobierno Nacional.  	Podrán presentar proyectos los Ministerios de Educación provinciales solicitando para un tope máximo de 10 escuelas y/o bien contar con un banco propio por un tope de 20 máquinas braille.		Debería asistir DOS veces:1.- Presentar la documentación.2.- Suscribir el convenio.   Nota: Eventualmente podría ser citado para dar explicaciones o agregar documentación.  		Unidad Ejecutora de Proyectos, CONADIS sita en Av. Julio A. Roca 782, Piso 4, Ciudad Autónoma de Buenos Aires.	Los proyectos serán recibidos a partir del 1 de julio de 2013 y pueden ser enviados, según corresponda, por organismos de gobierno, organizaciones de la sociedad civil y personas físicas.				
2390	Programa de Accesibilidad al aprendizaje	Comisión Nacional Asesora para la Integración de las Personas con Discapacidad	Acceder al Programa de Accesibilidad al Aprendizaje propone el financiamiento para la adquisición de equipamiento y material didáctico para escuelas públicas de nivel inicial, primario y medio de todas las modalidades y universidades e institutos superiores nacionales, que incluyan estudiantes con discapacidad.	1.- Consultar los requisitos y la documentación necesaria para cada Programa.	1.- Presentar la solicitud en la Mesa de Entradas de la Unidad Ejecutora de Proyectos, la cual procederá a su registro y, cuando corresponda, a su caratulación, dando inicio formal al trámite. Puede consultar los Formularios necesarios para la transferencia de fondos. Una vez cumplimentada la solicitud, la Coordinación Técnica de la Unidad Ejecutora de Proyectos realizará un Informe Técnico, en base al cual el Coordinador General emitirá un dictamen sobre la procedencia de la aceptación o rechazo de la petición. En caso de ser aceptado, la Unidad Ejecutora de Proyectos elaborará el convenio a suscribir con el beneficiario.   Todo Proyecto de convenio o de resolución de otorgamiento de subsidio, deberá contar con dictamen jurídico de la Secretaría Legal y Técnica de la Presidencia de la Nación. 2.- Realizar la Rendición de Cuentas.     Nota: En todos los casos la solicitud deberá estar avalada por el área gubernamental local con competencia en materia de discapacidad, de la Provincia de origen del solicitante o del lugar donde se aplique el subsidio o del Gobierno de la Ciudad Autónoma de Buenos Aires, independientemente de la intervención que le competa a los distintos Ministerios del Gobierno Nacional.  	Podrán presentar proyectos los organismos gubernamentales (Ministerios de Educación provinciales) y las Organizaciones de la Sociedad Civil (Cooperadoras/Fundaciones/Asociaciones vinculados a establecimientos educativos que se encuentren jurídicamente constituidas).		Debería asistir DOS veces:1.- Presentar la documentación.2.- Suscribir el convenio.   Nota: Eventualmente podría ser citado para dar explicaciones o agregar documentación.  		Unidad Ejecutora de Proyectos, CONADIS sita en Av. Julio A. Roca 782, Piso 4, Ciudad Autónoma de Buenos Aires.	Los proyectos serán recibidos a partir del 1 de julio de 2013 y pueden ser enviados, según corresponda, por organismos de gobierno, organizaciones de la sociedad civil y personas físicas.				
2389	Programa de Accesibilidad para ámbitos educativos	Comisión Nacional Asesora para la Integración de las Personas con Discapacidad	Acceder al  Programa de Accesibilidad para Ámbitos Educativos. Éste tiene por finalidad mejorar las condiciones básicas de accesibilidad de los establecimientos educativos, a fin de posibilitar la inclusión de las personas con discapacidad en todos los niveles educativos.Se propone el financiamiento necesario para hacer accesibles escuelas públicas de nivel inicial, primario y medio de todas las modalidades e institutos públicos superiores.	1.- Consultar los requisitos y la documentación necesaria para cada Programa.	1.- Presentar la solicitud en la Mesa de Entradas de la Unidad Ejecutora de Proyectos, la cual procederá a su registro y, cuando corresponda, a su caratulación, dando inicio formal al trámite. Puede consultar los Formularios necesarios para la transferencia de fondos. Una vez cumplimentada la solicitud, la Coordinación Técnica de la Unidad Ejecutora de Proyectos realizará un Informe Técnico, en base al cual el Coordinador General emitirá un dictamen sobre la procedencia de la aceptación o rechazo de la petición. En caso de ser aceptado, la Unidad Ejecutora de Proyectos elaborará el convenio a suscribir con el beneficiario. Todo Proyecto de convenio o de resolución de otorgamiento de subsidio, deberá contar con dictamen jurídico de la Secretaría Legal y Técnica de la Presidencia de la Nación. 2.- Realizar la Rendición de Cuentas.     Nota: En todos los casos la solicitud deberá estar avalada por el área gubernamental local con competencia en materia de discapacidad, de la Provincia de origen del solicitante o del lugar donde se aplique el subsidio o del Gobierno de la Ciudad Autónoma de Buenos Aires, independientemente de la intervención que le competa a los distintos Ministerios del Gobierno Nacional.  	Podrán presentar proyectos los organismos gubernamentales (Ministerios de Educación provinciales) y las Organizaciones de la Sociedad Civil (Asociaciones Cooperadoras de las Escuelas y Fundaciones o Asociaciones vinculadas a los Institutos Superiores que se encuentren jurídicamente constituidas).		Debería asistir DOS veces:1.- Presentar la documentación.2.- Suscribir el convenio.   Nota: Eventualmente podría ser citado para dar explicaciones o agregar documentación.  		Unidad Ejecutora de Proyectos, CONADIS sita en Av. Julio A. Roca 782, Piso 4, Ciudad Autónoma de Buenos Aires.	Los proyectos serán recibidos a partir del 1 de julio de 2013 y pueden ser enviados, según corresponda, por organismos de gobierno, organizaciones de la sociedad civil y personas físicas.				
2371	Programa de Transporte Institucional	Comisión Nacional Asesora para la Integración de las Personas con Discapacidad	El  programa propone el financiamiento para la adquisición de vehículos de transporte accesibles para Personas con Discapacidad. Se entiende por transporte accesible aquel vehículo que cuenta con equipamiento adecuado que permite el ascenso, descenso y traslado seguro de las personas con movilidad reducida (Rampa.) Los transportes estarán destinados a facilitar el acceso de las personas con discapacidad a servicios de salud, educación, trabajo y/o esparcimiento.	1.- Consultar los requisitos y la documentación necesaria para cada Programa.	1.- Presentar la solicitud en la Mesa de Entradas de la Unidad Ejecutora de Proyectos, la cual procederá a su registro y, cuando corresponda, a su caratulación, dando inicio formal al trámite. Puede consultar los Formularios necesarios para la transferencia de fondos. Una vez cumplimentada la solicitud, la Coordinación Técnica de la Unidad Ejecutora de Proyectos realizará un Informe Técnico, en base al cual el Coordinador General emitirá un dictamen sobre la procedencia de la aceptación o rechazo de la petición. En caso de ser aceptado, la Unidad Ejecutora de Proyectos elaborará el convenio a suscribir con el beneficiario.   Todo Proyecto de convenio o de resolución de otorgamiento de subsidio, deberá contar con dictamen jurídico de la Secretaría Legal y Técnica de la Presidencia de la Nación. 2.- Realizar la Rendición de Cuentas.     Nota: En todos los casos la solicitud deberá estar avalada por el área gubernamental local con competencia en materia de discapacidad, de la Provincia de origen del solicitante o del lugar donde se aplique el subsidio o del Gobierno de la Ciudad Autónoma de Buenos Aires, independientemente de la intervención que le competa a los distintos Ministerios del Gobierno Nacional.  	Podrán presentar proyectos los organismos gubernamentales (Municipios, Comunas, Ministerios, etc.) y las Organizaciones de la Sociedad Civil sin fines de lucro que presten servicios a las personas con discapacidad. En el caso de las Organizaciones de la Sociedad Civil, deberán contar con un mínimo de 2 años de antigüedad de Personería Jurídica e inicio de actividades.		Debería asistir dos veces:1.- Presentar la documentación.2.- Suscribir el convenio.   Nota: Eventualmente podría ser citado para dar explicaciones o agregar documentación.  		Unidad Ejecutora de Proyectos, CONADIS sita en Av. Julio A. Roca 782, Piso 4, Ciudad Autónoma de Buenos Aires.	Los proyectos serán recibidos a partir del 1 de julio de 2013 y pueden ser enviados, según corresponda, por organismos de gobierno, organizaciones de la sociedad civil y personas físicas.				
2370	Programa de apoyo a las actividades artísticas	Comisión Nacional Asesora para la Integración de las Personas con Discapacidad	Acceder al programa que tiene por finalidad brindar ayuda económica destinada a la adquisición de elementos que promuevan la actividad artística de las personas con discapacidad por parte de organismos gubernamentales y centros culturales pertenecientes a organizaciones de la sociedad civil sin fines de lucro.	1.- Consultar los requisitos y la documentación necesaria para cada Programa.	1.- Presentar la solicitud en la Mesa de Entradas de la Unidad Ejecutora de Proyectos, la cual procederá a su registro y, cuando corresponda, a su caratulación, dando inicio formal al trámite. Puede consultar los Formularios necesarios para la transferencia de fondos. Una vez cumplimentada la solicitud, la Coordinación Técnica de la Unidad Ejecutora de Proyectos realizará un Informe Técnico, en base al cual el Coordinador General emitirá un dictamen sobre la procedencia de la aceptación o rechazo de la petición. En caso de ser aceptado, la Unidad Ejecutora de Proyectos elaborará el convenio a suscribir con el beneficiario.   Todo Proyecto de convenio o de resolución de otorgamiento de subsidio, deberá contar con dictamen jurídico de la Secretaría Legal y Técnica de la Presidencia de la Nación. 2.- Realizar la Rendición de Cuentas.     Nota: En todos los casos la solicitud deberá estar avalada por el área gubernamental local con competencia en materia de discapacidad, de la Provincia de origen del solicitante o del lugar donde se aplique el subsidio o del Gobierno de la Ciudad Autónoma de Buenos Aires, independientemente de la intervención que le competa a los distintos Ministerios del Gobierno Nacional. 	Podrán presentar proyectos los organismos gubernamentales (Secretarias de Cultura provinciales o municipales) y las Organizaciones de la Sociedad Civil que puedan demostrar actividades artísticas que incluyan personas con discapacidad. 		Debería asistir dos veces:1.- Presentar la documentación.2.- Suscribir el convenio.   Nota: Eventualmente podría ser citado para dar explicaciones o agregar documentación.		Unidad Ejecutora de Proyectos, CONADIS sita en Av. Julio A. Roca 782, Piso 4, Ciudad Autónoma de Buenos Aires.	Los proyectos serán recibidos a partir del 1 de julio de 2013 y pueden ser enviados, según corresponda, por organismos de gobierno, organizaciones de la sociedad civil y personas físicas.				
2368	Programa de Accesibilidad Urbana	Comisión Nacional Asesora para la Integración de las Personas con Discapacidad	Acceder al Programa que permite el financiamiento de materiales y mano de obra necesarios para hacer accesibles a 6 manzanas del tejido urbano, principalmente aquellas que vinculan áreas de servicio al público.  El programa se incluye dentro de los objetivos planteados en el Plan Nacional de Accesibilidad en el ámbito de la movilidad y la eliminación de barreras, instalando criterios de accesibilidad universal. 	1.- Consultar los requisitos de documentación necesaria para cada Programa. 	1.- Presentar la solicitud en la Mesa de Entradas de la Unidad Ejecutora de Proyectos, la cual procederá a su registro y, cuando corresponda, a su caratulación, dando inicio formal al trámite. Puede consultar los Formularios necesarios para la transferencia de fondos. Una vez cumplimentada la solicitud, la Coordinación Técnica de la Unidad Ejecutora de Proyectos realizará un Informe Técnico, en base al cual el Coordinador General emitirá un dictamen sobre la procedencia de la aceptación o rechazo de la petición. En caso de ser aceptado, la Unidad Ejecutora de Proyectos elaborará el convenio a suscribir con el beneficiario.   Todo Proyecto de convenio o de resolución de otorgamiento de subsidio, deberá contar con dictamen jurídico de la Secretaría Legal y Técnica de la Presidencia de la Nación. 2.- Realizar la Rendición de Cuentas.     Nota: En todos los casos la solicitud deberá estar avalada por el área gubernamental local con competencia en materia de discapacidad, de la Provincia de origen del solicitante o del lugar donde se aplique el subsidio o del Gobierno de la Ciudad Autónoma de Buenos Aires, independientemente de la intervención que le competa a los distintos Ministerios del Gobierno Nacional.	Podrán presentar proyectos aquellos Municipios que hayan firmado el Convenio sobre el Plan Nacional de Accesibilidad. (Resolución CONADIS Nº 94/07).		Debería asistir DOS veces:1.- Presentar la documentación.2.- Suscribir el convenio.   Nota: Eventualmente podría ser citado para dar explicaciones o agregar documentación.		Unidad Ejecutora de Proyectos, CONADIS sita en Av. Julio A. Roca 782, Piso 4, Ciudad Autónoma de Buenos Aires.	Los proyectos serán recibidos a partir del 1 de julio de 2013 y pueden ser enviados, según corresponda, por organismos de gobierno,organizaciones de la sociedad civil y personas físicas.				
1267	Programa de Fortalecimiento Institucional	Comisión Nacional Asesora para la Integración de las Personas con Discapacidad	Acceder al Programa que permite promover el fortalecimiento de aquellas instituciones destinadas a la atención de las personas con discapacidad que vienen realizando un trabajo sostenido y comprobable, tendiente a la mayor autonomía e inclusión de las mismas. Se financiara un tope máximo de $500.000.- para la realización de reformas/mejoras edilicias, pequeñas construcciones y/o equipamiento, de aquellas Instituciones que atiendan a personas con discapacidad, que sean propietarias del inmueble, y que no hayan recibido financiamiento de  la ley de cheques  Las reformas y/o mejoras edilicias deberán tener como referencia el Marco Básico de Prestaciones para Personas con Discapacidad (Resolución N° 1328/2006 MS). 	1.- Consultar los requisitos y la documentación necesaria para cada Programa. Importante:No podrán presentar Proyectos Escuelas y Entidades de educación formal.  	1.- Presentar la solicitud en la Mesa de Entradas de la Unidad Ejecutora de Proyectos, la cual procederá a su registro y, cuando corresponda, a su caratulación, dando inicio formal al trámite. Puede consultar los Formularios necesarios para la transferencia de fondos. Una vez cumplimentada la solicitud, la Coordinación Técnica de la Unidad Ejecutora de Proyectos realizará un Informe Técnico, en base al cual el Coordinador General emitirá un dictamen sobre la procedencia de la aceptación o rechazo de la petición. En caso de ser aceptado, la Unidad Ejecutora de Proyectos elaborará el convenio a suscribir con el beneficiario.   Todo Proyecto de convenio o de resolución de otorgamiento de subsidio, deberá contar con dictamen jurídico de la Secretaría Legal y Técnica de la Presidencia de la Nación.  2.- Realizar la Rendición de Cuentas.     Nota: En todos los casos la solicitud deberá estar avalada por el área gubernamental local con competencia en materia de discapacidad, de la Provincia de origen del solicitante o del lugar donde se aplique el subsidio o del Gobierno de la Ciudad Autónoma de Buenos Aires, independientemente de la intervención que le competa a los distintos Ministerios del Gobierno Nacional.  	Organismos Gubernamentales y Organismos No Gubernamentales destinados al apoyo y promoción de las personas con discapacidad.		Debería asistir dos veces:1.- Presentar la documentación.2.- Suscribir el convenio. Nota: Eventualmente podría ser citado para dar explicaciones o agregar documentación.  		Unidad Ejecutora de Proyectos, CONADIS sita en Av. Julio A. Roca 782, Piso 4, Ciudad Autónoma de Buenos Aires. 					
